,count,unique,top,freq,missing,missing_pct
accession_id,2175128,139932,8ad0dac521,374,0,0
pat_enc_csn_id,2175128,106683,8e0a73dc3e,1213,0,0
pat_mrn_id,2175128,80448,ec9c28d8a8,3874,0,0
barcode,2095266,167741,f336a0e414,160,79862,0.037
tube_id,2175128,178016,f2ef61beae,160,0,0
specimen_id,2175128,173945,44f804de9d,160,0,0
test_code,2172808,1022,25HD,694972,2320,0.001
test_performing_dept,2175128,53,UCHM,1484995,0,0
test_performing_location,2175128,32,ULAB,1881539,0,0
event_street,2175128,164,Medical,1384255,0,0
event_source,2175128,2,order,1647494,0,0
event_type,2175128,56,test_ordered_dt,236400,0,0
event_dt,2175128,358337,2025-07-15T16:05:00Z,131,0,0
